jogador,nacao,posicao,idade,minPor90,gols,assist
Juninho, BRA,LT,34,14.7,0,1
Marlon Freitas, BRA,LT,27,15.4,2,3
Lucas Kal, BRA,LT,26,13.3,0,0
Jefferson, BRA,ZG,25,14.1,1,1
Éverson, BRA,G,31,17.0,0,0
Kevin, BRA,ZG,24,16.8,1,1
Gatito Fernández, PAR,G,34,14.0,0,0
Cleiton Schwengber, BRA,G,24,17.0,0,0
Cássio, BRA,G,35,15.0,0,0
João Ricardo Riedi, BRA,G,33,15.0,0,0
Luciano Castán, BRA,ZG,32,16.0,0,0
Eder, BRA,ZG,27,14.0,0,1
Ronaldo, BRA,G,25,15.0,0,0
Júnior Alonso, PAR,ZG,29,15.4,0,2
Bruno Cortez, BRA,ZG,35,16.0,0,0
Erison, BRA,AT,23,13.4,6,1
Luan Cândido, BRA,ZG,21,12.1,3,2
Du Queiroz, BRA,LT,22,14.5,0,2
Messias, BRA,ZG,27,14.0,0,0
Igor Paixão, BRA,LT,22,14.2,4,4
Patric Cabral Lalau, BRA,ZG,33,13.6,0,0
Jorginho, BRA,LT,31,13.1,3,0
Hulk, BRA,AT,35,13.9,7,2
Raniele, BRA,"LT,ZG",25,14.7,1,0
Kanu, BRA,ZG,25,13.3,0,0
Natan, BRA,ZG,21,12.0,2,0
Raul Bicalho, BRA,ZG,23,14.5,1,0
Richard, BRA,LT,28,12.2,0,1
Henrique, BRA,ZG,35,13.9,0,0
Felipe Azevedo, BRA,LT,35,12.2,2,0
Ramon Menezes Roma, BRA,ZG,27,14.0,0,0
Ignacio Fernández, ARG,LT,32,13.2,3,3
Arthur Chaves, BRA,ZG,21,14.5,0,0
Renzo Saravia, ARG,"ZG,LT",29,12.7,0,1
Artur, BRA,LT,24,11.5,3,4
Roger Guedes, BRA,AT,25,12.2,5,1
Bruno Pacheco, BRA,ZG,30,12.4,1,1
Willian Farias, BRA,LT,33,13.3,0,0
Jailson, BRA,G,40,12.0,0,0
Wellington Rato, BRA,"LT,AT",30,13.6,4,0
Allan, BRA,LT,25,12.7,0,0
Bruno Silva, BRA,LT,35,14.4,0,0
Víctor Cuesta, ARG,ZG,33,12.6,1,1
Aderlan Silva, BRA,ZG,31,11.4,0,1
Gil, BRA,ZG,35,11.3,0,0
Stiven Mendoza, COL,"AT,LT",30,11.5,7,0
Alex Muralha, BRA,G,32,12.0,0,0
Marlon, BRA,"ZG,LT",28,10.5,0,0
Edson, BRA,"ZG,LT",31,13.3,0,0
Guilherme Arana, BRA,ZG,25,11.3,0,2
Guilherme Bissoli, BRA,AT,24,13.5,8,0
Luis Oyama, BRA,LT,25,10.6,0,0
Lucas Evangelista, BRA,LT,27,10.8,1,1
Rafael Ramos, POR,ZG,27,9.9,0,1
Vinícius, BRA,"AT,LT",31,11.3,1,2
Alef Manga, BRA,LT,27,10.8,2,2
Ale, BRA,LT,32,9.4,1,1
Gabriel Baralhas, BRA,LT,23,11.7,1,0
Jair, BRA,LT,27,10.1,1,2
Eduardo de Biasi, BRA,LT,25,11.8,1,1
Daniel Borges, BRA,ZG,29,10.7,1,2
Leo Ortiz, BRA,ZG,26,10.4,1,0
Gustavo Mantuan, BRA,"LT,AT",21,9.6,3,1
Lima, BRA,"LT,AT",26,10.4,2,0
Matheus Alexandre, BRA,ZG,23,11.2,0,0
Germán Conti, ARG,ZG,28,10.2,0,0
Hayner, BRA,ZG,26,11.0,0,2
Nathan Silva, BRA,ZG,25,9.2,0,0
Muriqui, BRA,"AT,LT",36,8.5,4,0
João Victor Santos Sá, BRA,"LT,AT",28,10.0,1,0
Raul, BRA,LT,26,9.0,0,0
Adson, BRA,"LT,AT",21,8.7,2,0
Richardson, BRA,LT,30,9.2,0,0
Léo Gamalho, BRA,AT,36,10.3,6,0
Everaldo, BRA,LT,28,7.7,0,2
Diego Churín, ARG,AT,32,10.4,3,0
Guga, BRA,"ZG,LT",23,8.9,0,0
Bressan, BRA,ZG,29,10.9,0,0
Hugo, BRA,"LT,ZG",20,9.6,1,0
Helinho, BRA,LT,22,8.0,1,1
Renato Augusto, BRA,LT,34,8.4,1,0
Gabriel Lacerda, BRA,ZG,23,10.3,0,0
Guilherme Biro, BRA,ZG,22,6.3,0,0
Aloísio dos Santos Gonçalves, CHN,AT,34,6.9,2,0
Wanderson, BRA,ZG,31,9.0,0,0
Rubens, BRA,"ZG,LT",21,9.4,1,0
Douglas Friedrich, BRA,G,33,10.4,0,0
Vinícius, BRA,"AT,LT",23,8.5,2,0
Marcos Vinicios Sorriso, BRA,LT,21,7.9,2,1
Lucas Piton, BRA,"ZG,LT",21,8.8,1,3
Rodrigo Lindoso, BRA,LT,33,8.7,0,1
Thonny Anderson, BRA,LT,24,5.9,0,0
Iago Maidana, BRA,ZG,26,4.8,3,0
Airton, BRA,LT,23,8.1,2,2
Ademir Santos, BRA,"LT,AT",27,8.9,1,0
William Pottker, BRA,"LT,AT",28,9.2,1,1
Patrick de Paula, BRA,LT,22,8.0,1,0
Ytalo, BRA,AT,34,6.9,3,0
Fábio Santos, BRA,"ZG,LT",36,7.8,1,0
Michel, BRA,ZG,32,7.9,0,1
Egídio Pereira Júnior, BRA,ZG,36,7.5,0,2
Pedrinho, BRA,"LT,AT",22,6.2,1,1
Shaylon, BRA,LT,25,7.8,0,0
Mariano, BRA,ZG,36,8.2,0,1
Morato, BRA,"AT,LT",29,7.3,2,1
Lucas Fernandes, BRA,LT,24,7.3,0,1
Hyoran, BRA,LT,29,6.4,3,2
Willian, BRA,"AT,LT",33,7.6,0,2
Luiz Otávio, BRA,ZG,33,7.8,1,0
Fabrício, BRA,LT,25,5.5,0,2
Luan Patrick, BRA,ZG,20,5.2,0,0
Luiz Fernando, BRA,LT,25,7.0,0,1
Eduardo Sasha, BRA,"AT,LT",30,7.2,3,0
Vladimir, BRA,G,33,6.5,0,0
Philipe Sampaio, BRA,ZG,27,6.8,0,0
Jadsom, BRA,LT,21,7.1,0,1
Víctor Cantillo, COL,LT,28,6.6,0,0
Nino Paraíba, BRA,ZG,36,9.4,1,0
Andrey Ramos do Nascimento, BRA,LT,24,5.4,3,0
Gustavinho, BRA,LT,20,3.6,0,0
Leo Augusto Pereira, BRA,LT,22,8.2,1,1
Federico Zaracho, ARG,LT,24,6.2,2,1
Jean Cléber, BRA,LT,32,5.2,0,0
Tchê Tchê, BRA,LT,29,6.6,0,0
Alerrandro, BRA,AT,22,6.3,5,0
Maycon, BRA,LT,25,5.4,0,0
Erick, BRA,"AT,LT",24,6.8,1,0
Adrián Martínez, ARG,AT,30,5.9,4,1
Henrique Almeida, BRA,AT,31,4.5,1,0
Luis Eduardo Marques dos Santos, BRA,ZG,25,4.7,0,1
Keno, BRA,"LT,AT",32,5.6,0,1
Rodrigo, BRA,ZG,24,3.3,0,0
Chayene Santos, BRA,"LT,AT",31,6.5,0,0
Bruno Praxedes, BRA,LT,20,5.0,1,2
Giuliano de Paula, BRA,LT,32,7.0,0,1
Cléber, BRA,"AT,LT",25,6.3,3,0
Valdemir, BRA,LT,25,5.1,0,1
Matheus Cavichioli, BRA,G,35,4.0,0,0
Edson, BRA,"LT,ZG",24,4.0,0,0
Eduardo Vargas, CHI,"LT,AT",32,5.3,1,2
Jonathan Copete, COL,AT,34,3.1,0,0
Diego Gonçalves, BRA,"LT,ZG",27,5.4,2,0
Eric Ramires, BRA,LT,21,6.4,0,0
João Victor, BRA,ZG,24,5.4,0,0
Fernando Sobral, BRA,LT,27,4.6,0,0
Rafael William, BRA,G,20,5.0,0,1
João Paulo, BRA,ZG,36,3.9,0,0
Luan Polli, BRA,G,29,2.0,0,0
Otávio, BRA,LT,28,7.2,0,0
Rafael Vaz, BRA,ZG,33,2.1,0,0
Lucas Piazon, BRA,"LT,AT",28,4.5,0,0
José Hurtado, ECU,ZG,20,5.4,0,1
Júnior Moraes, UKR,AT,35,4.5,0,0
Victor Luis, BRA,ZG,29,5.5,0,0
Guillermo de los Santos, URU,ZG,31,4.6,0,0
Paulinho, BRA,AT,24,3.2,0,1
Arthur Henrique, BRA,ZG,28,2.0,0,0
Réver, BRA,ZG,37,5.1,1,0
Nonoca, BRA,LT,24,1.8,0,0
Joel Carli, ARG,ZG,35,4.0,0,1
Kevin Lomónaco, ARG,ZG,20,5.1,0,0
Bruno Melo, BRA,"ZG,LT",29,4.1,0,0
Iury de Castilho, BRA,"LT,AT",26,4.7,0,1
Matías Galarza, PAR,LT,20,4.0,0,0
Raúl Cáceres, PAR,ZG,30,4.2,1,1
Lucas Lima, BRA,LT,22,1.3,0,0
