jogador,nacao,posicao,idade,minPor90,desarmes
Juninho, BRA,LT,34,14.7,12
Marlon Freitas, BRA,LT,27,15.4,22
Éverson, BRA,G,31,17.0,0
Kevin, BRA,ZG,24,16.8,21
Gatito Fernández, PAR,G,34,14.0,1
Cleiton Schwengber, BRA,G,24,17.0,0
Lucas Kal, BRA,LT,26,13.3,9
Jefferson, BRA,ZG,25,14.1,14
Júnior Alonso, PAR,ZG,29,15.4,8
João Ricardo Riedi, BRA,G,33,15.0,0
Cássio, BRA,G,35,15.0,0
Bruno Cortez, BRA,ZG,35,16.0,14
Erison, BRA,AT,23,13.4,2
Luan Cândido, BRA,ZG,21,12.1,12
Luciano Castán, BRA,ZG,32,16.0,14
Eder, BRA,ZG,27,14.0,6
Ronaldo, BRA,G,25,15.0,0
Hulk, BRA,AT,35,13.9,2
Messias, BRA,ZG,27,14.0,5
Du Queiroz, BRA,LT,22,14.5,12
Raniele, BRA,"LT,ZG",25,14.7,16
Kanu, BRA,ZG,25,13.3,8
Natan, BRA,ZG,21,12.0,10
Igor Paixão, BRA,LT,22,14.2,7
Patric Cabral Lalau, BRA,ZG,33,13.6,17
Jorginho, BRA,LT,31,13.1,15
Ignacio Fernández, ARG,LT,32,13.2,17
Richard, BRA,LT,28,12.2,18
Raul Bicalho, BRA,ZG,23,14.5,10
Arthur Chaves, BRA,ZG,21,14.5,15
Renzo Saravia, ARG,"ZG,LT",29,12.7,24
Artur, BRA,LT,24,11.5,9
Henrique, BRA,ZG,35,13.9,9
Felipe Azevedo, BRA,LT,35,12.2,10
Ramon Menezes Roma, BRA,ZG,27,14.0,3
Allan, BRA,LT,25,12.7,14
Bruno Pacheco, BRA,ZG,30,12.4,13
Roger Guedes, BRA,AT,25,12.2,0
Bruno Silva, BRA,LT,35,14.4,33
Víctor Cuesta, ARG,ZG,33,12.6,18
Aderlan Silva, BRA,ZG,31,11.4,22
Willian Farias, BRA,LT,33,13.3,16
Jailson, BRA,G,40,12.0,0
Wellington Rato, BRA,"LT,AT",30,13.6,9
Guilherme Arana, BRA,ZG,25,11.3,12
Stiven Mendoza, COL,"AT,LT",30,11.5,4
Gil, BRA,ZG,35,11.3,9
Guilherme Bissoli, BRA,AT,24,13.5,4
Luis Oyama, BRA,LT,25,10.6,15
Lucas Evangelista, BRA,LT,27,10.8,12
Alex Muralha, BRA,G,32,12.0,0
Marlon, BRA,"ZG,LT",28,10.5,21
Edson, BRA,"ZG,LT",31,13.3,14
Jair, BRA,LT,27,10.1,15
Vinícius, BRA,"AT,LT",31,11.3,0
Rafael Ramos, POR,ZG,27,9.9,21
Eduardo de Biasi, BRA,LT,25,11.8,10
Daniel Borges, BRA,ZG,29,10.7,10
Leo Ortiz, BRA,ZG,26,10.4,10
Alef Manga, BRA,LT,27,10.8,9
Ale, BRA,LT,32,9.4,7
Gabriel Baralhas, BRA,LT,23,11.7,23
Nathan Silva, BRA,ZG,25,9.2,7
Lima, BRA,"LT,AT",26,10.4,7
Gustavo Mantuan, BRA,"LT,AT",21,9.6,8
Muriqui, BRA,"AT,LT",36,8.5,3
João Victor Santos Sá, BRA,"LT,AT",28,10.0,10
Raul, BRA,LT,26,9.0,14
Matheus Alexandre, BRA,ZG,23,11.2,16
Germán Conti, ARG,ZG,28,10.2,4
Hayner, BRA,ZG,26,11.0,6
Guga, BRA,"ZG,LT",23,8.9,16
Richardson, BRA,LT,30,9.2,14
Adson, BRA,"LT,AT",21,8.7,18
Bressan, BRA,ZG,29,10.9,5
Hugo, BRA,"LT,ZG",20,9.6,15
Helinho, BRA,LT,22,8.0,6
Léo Gamalho, BRA,AT,36,10.3,3
Everaldo, BRA,LT,28,7.7,6
Diego Churín, ARG,AT,32,10.4,6
Rubens, BRA,"ZG,LT",21,9.4,26
Gabriel Lacerda, BRA,ZG,23,10.3,6
Renato Augusto, BRA,LT,34,8.4,6
Douglas Friedrich, BRA,G,33,10.4,0
Vinícius, BRA,"AT,LT",23,8.5,9
Marcos Vinicios Sorriso, BRA,LT,21,7.9,12
Guilherme Biro, BRA,ZG,22,6.3,11
Aloísio dos Santos Gonçalves, CHN,AT,34,6.9,3
Wanderson, BRA,ZG,31,9.0,5
Ademir Santos, BRA,"LT,AT",27,8.9,4
Rodrigo Lindoso, BRA,LT,33,8.7,5
Lucas Piton, BRA,"ZG,LT",21,8.8,12
William Pottker, BRA,"LT,AT",28,9.2,4
Patrick de Paula, BRA,LT,22,8.0,6
Ytalo, BRA,AT,34,6.9,3
Thonny Anderson, BRA,LT,24,5.9,8
Iago Maidana, BRA,ZG,26,4.8,6
Airton, BRA,LT,23,8.1,13
Mariano, BRA,ZG,36,8.2,17
Michel, BRA,ZG,32,7.9,7
Fábio Santos, BRA,"ZG,LT",36,7.8,12
Morato, BRA,"AT,LT",29,7.3,10
Lucas Fernandes, BRA,LT,24,7.3,3
Hyoran, BRA,LT,29,6.4,8
Egídio Pereira Júnior, BRA,ZG,36,7.5,11
Pedrinho, BRA,"LT,AT",22,6.2,5
Shaylon, BRA,LT,25,7.8,4
Eduardo Sasha, BRA,"AT,LT",30,7.2,4
Luiz Otávio, BRA,ZG,33,7.8,8
Willian, BRA,"AT,LT",33,7.6,9
Vladimir, BRA,G,33,6.5,0
Philipe Sampaio, BRA,ZG,27,6.8,2
Jadsom, BRA,LT,21,7.1,10
Fabrício, BRA,LT,25,5.5,11
Luan Patrick, BRA,ZG,20,5.2,6
Luiz Fernando, BRA,LT,25,7.0,2
Federico Zaracho, ARG,LT,24,6.2,8
