jogador,nacao,posicao,idade,minPor90,gols_contra,defesas
Jailson, BRA,G,40,12.0,13,39
Ronaldo, BRA,G,25,15.0,18,52
Éverson, BRA,G,31,17.0,17,38
Douglas Friedrich, BRA,G,33,10.4,16,24
Gatito Fernández, PAR,G,34,14.0,19,47
Cleiton Schwengber, BRA,G,24,17.0,20,52
Matheus Cavichioli, BRA,G,35,4.0,7,12
João Ricardo Riedi, BRA,G,33,15.0,17,44
Luan Polli, BRA,G,29,2.0,5,6
Cássio, BRA,G,35,15.0,11,47
Alex Muralha, BRA,G,32,12.0,18,38
Vladimir, BRA,G,33,6.5,11,21
Diego, BRA,G,23,2.0,2,4
Airton Moraes, BRA,G,28,1.0,1,7
Vinícius Machado, BRA,G,22,2.0,1,6
Matheus Donelli, BRA,G,20,2.0,6,8
Rafael William, BRA,G,20,5.0,9,21
Douglas Borges, BRA,G,32,1.0,1,1
Walter, BRA,G,34,14.0,15,52
João Carlos, BRA,G,34,2.0,2,8
Hugo Souza, BRA,G,23,10.0,10,23
Fábio, BRA,G,41,17.0,17,53
Marcelo Boeck, BRA,G,37,10.0,15,30
Tadeu, BRA,G,30,17.0,19,63
Daniel, BRA,G,28,16.0,14,56
João Paulo, BRA,G,27,16.0,16,54
Wéverton, BRA,G,34,14.0,12,40
Jandrei, BRA,G,29,16.3,17,43
Santos, BRA,G,32,4.0,2,13
Max Walef, BRA,G,28,5.0,6,12
Keiller, BRA,G,25,1.0,1,3
John, BRA,G,26,1.0,0,1
Marcelo Lomba, BRA,G,35,2.0,0,6
Thiago, BRA,G,23,0.7,1,1
Diego Alves, BRA,G,37,3.0,5,3
Fernando Miguel, BRA,G,37,2.0,0,8
César Reis, BRA,G,27,17.0,28,52
